"Athletics Indicator","Major","Term","Distinct Students","Distinct Students.FORMATTED_VALUE"
"Never an Athlete","Biotechnology&Chemical Science (BTCS)","2023-24","22.0","22"
"Never an Athlete","Biotechnology&Chemical Science (BTCS)","2024-25","37.0","37"
"Never an Athlete","Business Administration (MBA)","2021-22","77.0","77"
"Never an Athlete","Business Administration (MBA)","2022-23","49.0","49"
"Never an Athlete","Business Administration (MBA)","2023-24","50.0","50"
"Never an Athlete","Business Administration (MBA)","2024-25","54.0","54"
"Never an Athlete","Business Analytics (BANL)","2023-24","35.0","35"
"Never an Athlete","Business Analytics (BANL)","2024-25","69.0","69"
"Never an Athlete","Clarinet (CLAR)","2021-22","3.0","3"
"Never an Athlete","Clarinet (CLAR)","2022-23","5.0","5"
"Never an Athlete","Clarinet (CLAR)","2023-24","1.0","1"
"Never an Athlete","Clarinet (CLAR)","2024-25","1.0","1"
"Never an Athlete","Clin Psych (Counslng Practice) (CPCP)","2021-22","116.0","116"
"Never an Athlete","Clin Psych (Counslng Practice) (CPCP)","2022-23","101.0","101"
"Never an Athlete","Clin Psych (Counslng Practice) (CPCP)","2023-24","102.0","102"
"Never an Athlete","Clin Psych (Counslng Practice) (CPCP)","2024-25","95.0","95"
"Never an Athlete","Clinical MentalHlth Counseling (CMHC)","2021-22","77.0","77"
"Never an Athlete","Clinical MentalHlth Counseling (CMHC)","2022-23","63.0","63"
"Never an Athlete","Clinical MentalHlth Counseling (CMHC)","2023-24","46.0","46"
"Never an Athlete","Clinical MentalHlth Counseling (CMHC)","2024-25","38.0","38"
"Never an Athlete","Clinical Psychology (CPSY)","2021-22","110.0","110"
"Never an Athlete","Clinical Psychology (CPSY)","2022-23","109.0","109"
"Never an Athlete","Clinical Psychology (CPSY)","2023-24","109.0","109"
"Never an Athlete","Clinical Psychology (CPSY)","2024-25","107.0","107"
"Never an Athlete","College Counsel/Student Affair (CCSA)","2021-22","6.0","6"
"Never an Athlete","College Counsel/Student Affair (CCSA)","2022-23","3.0","3"
"Never an Athlete","College Counsel/Student Affair (CCSA)","2023-24","2.0","2"
"Never an Athlete","College Counsel/Student Affair (CCSA)","2024-25","1.0","1"
"Never an Athlete","Computer Science (CPSC)","2021-22","10.0","10"
"Never an Athlete","Computer Science (CPSC)","2022-23","10.0","10"
"Never an Athlete","Computer Science (CPSC)","2023-24","131.0","131"
"Never an Athlete","Computer Science (CPSC)","2024-25","164.0","164"
"Never an Athlete","Conflict and Mediation (CNMN)","2021-22","10.0","10"
"Never an Athlete","Conflict and Mediation (CNMN)","2022-23","9.0","9"
"Never an Athlete","Conflict and Mediation (CNMN)","2023-24","2.0","2"
"Never an Athlete","Conflict and Mediation (CNMN)","2024-25","1.0","1"
"Never an Athlete","Creative Writing (CRWR)","2021-22","13.0","13"
"Never an Athlete","Creative Writing (CRWR)","2022-23","9.0","9"
"Never an Athlete","Creative Writing (CRWR)","2023-24","8.0","8"
"Never an Athlete","Creative Writing (CRWR)","2024-25","4.0","4"
